FlightID,DelayMinutes,FlightStatus,SeatsSoldEconomy,SeatsSoldBusiness,SeatsSoldFirst,LoadFactorPct
661,5,ON TIME,276,42,10,93.2
662,140,Delayed,265,36,7,87.5
663,1,ON TIME,176,27,6,70.1
664,0,ON TIME,184,30,5,73.5
665,127,Delayed,188,23,0,84.4
666,13,ON TIME,139,19,0,63.2
667,6,ON TIME,220,30,0,100.0
668,1,ON TIME,145,21,0,66.4
669,5,ON TIME,199,31,6,79.2
670,11,ON TIME,195,29,6,77.2
671,4,ON TIME,210,29,6,82.2
672,9,ON TIME,250,36,8,98.7
673,1,ON TIME,131,22,0,61.2
674,111,Delayed,192,28,0,88.0
675,12,ON TIME,197,31,7,78.9
676,5,ON TIME,173,29,5,69.5
677,155,Delayed,165,29,5,66.8
678,7,ON TIME,207,32,8,82.9
679,13,ON TIME,139,20,0,63.6
680,8,ON TIME,205,30,0,94.0
681,13,ON TIME,159,27,6,64.4
682,8,ON TIME,150,24,4,59.7
683,166,Delayed,216,31,6,84.9
684,14,ON TIME,189,27,6,74.5
685,8,ON TIME,182,25,0,82.8
686,0,CANCELLED,0,0,0,0.0
687,7,ON TIME,260,34,9,86.1
688,8,ON TIME,249,38,8,83.8
689,1,ON TIME,209,36,9,72.2
690,6,ON TIME,276,33,9,90.3
691,8,ON TIME,163,25,6,65.1
692,159,Delayed,247,37,8,98.0
693,5,ON TIME,157,24,4,62.1
694,2,ON TIME,162,29,5,65.8
695,13,ON TIME,249,37,7,98.3
696,13,ON TIME,170,29,6,68.8
697,4,ON TIME,154,21,0,70.0
